ID,group,verify,service_type,disability,woman,indigenous,visible,revenue,ft,pt
281,treatment,4B9,dinein,no,no,no,no,175567.55152990154,20,11
287,treatment,3K9,takeout,no,no,no,nonanswer,56576.57441484366,7,3
289,treatment,4K1,takeout,no,yes,no,nonanswer,147834.5874357417,17,9
290,treatment,5J3,takeout,no,no,no,no,65421.03289928649,8,4
297,treatment,1E0,both,no,no,no,no,53847.74747487872,6,3
298,treatment,2C7,takeout,no,yes,no,no,90817.99997191619,10,6
299,treatment,TON,both,no,no,no,no,126446.99637515747,15,8
300,treatment,2H0,both,no,no,no,no,81414.57346625195,9,5
302,treatment,4B7,both,no,no,no,yes,70810.16060029084,8,4
306,treatment,2S6,both,no,no,no,no,33702.27661136495,4,2
308,treatment,1E3,both,no,no,no,no,94452.01159819837,11,6
310,treatment,2A0,both,no,no,no,no,92563.39185849822,NA,6
314,treatment,5C2,takeout,no,no,no,no,56856.560491608434,7,3
315,treatment,1N0,takeout,no,no,no,no,71904.99731407013,8,4
319,treatment,1Y2,both,no,no,no,no,75112.05975021094,9,5
323,treatment,4V3,both,no,no,no,no,167839.99432329426,19,10
326,treatment,1S0,both,no,no,no,no,131956.4450343512,15,8
327,treatment,2A5,takeout,no,no,no,no,70610.0633486661,8,4
329,treatment,4K1,takeout,no,no,no,nonanswer,119142.68434421833,14,7
330,treatment,1E0,both,no,no,no,no,61662.834655455175,7,4
332,treatment,1S2,takeout,no,no,no,no,33494.6996925407,4,2
338,treatment,8W8,both,no,no,no,no,72966.40789372259,8,4
339,treatment,2K1,takeout,no,no,no,no,72895.80126448823,8,4
342,treatment,1A0,both,no,yes,no,no,118361.19914235335,14,NA
346,treatment,4P2,both,no,no,no,no,62347.15558262547,7,4
349,treatment,3V9,takeout,no,no,no,no,65844.41253301708,8,4
351,treatment,2M0,both,no,no,no,no,88978.479757499,10,5
354,treatment,2B5,both,no,no,no,no,52164.74350238441,6,3
357,treatment,3M3,both,no,no,no,no,94478.76465857321,11,6
376,treatment,1M5,both,no,no,no,no,73292.53972283998,8,5
377,treatment,6J4,dinein,no,no,no,no,34605.37720095236,4,2
378,treatment,1C5,both,no,no,no,no,100369.55987419987,12,6
379,treatment,1A0,both,no,yes,no,no,78896.39008106517,9,5
381,treatment,1L0,takeout,no,no,no,no,49062.931916058646,6,3
383,treatment,2C0,takeout,no,no,no,no,38276.3106212747,4,2
384,treatment,1P0,both,no,no,no,no,41345.901286639746,5,3
387,treatment,ON,both,no,no,no,no,59615.248423526195,7,4
388,treatment,1K6,both,no,no,no,no,11446.788770119076,1,1
393,treatment,1C7,takeout,no,no,no,no,21493.508956516533,2,1
394,treatment,5M8,takeout,no,no,no,yes,80620.8739242114,9,5
399,treatment,1W0,both,no,no,no,yes,64892.49147929584,8,4
400,treatment,5L2,both,no,yes,no,no,27543.431669517548,3,2
403,treatment,4Z1,both,no,no,no,no,84115.04167522764,10,5
405,treatment,4T4,both,no,no,no,no,49530.814806722214,6,3
406,treatment,1C4,takeout,no,yes,no,no,54728.88741841904,6,3
408,treatment,0V2,takeout,no,no,no,no,61784.816513535225,7,4
410,treatment,1C1,both,no,no,no,no,80947.43527908652,9,5
415,treatment,1B7,both,no,yes,no,no,102110.63171309062,12,6
417,treatment,1S0,both,no,no,no,no,35165.489055206184,4,2
418,treatment,3T8,takeout,no,no,no,no,91153.75802926572,11,6
420,treatment,4Z9,both,no,yes,no,no,67647.95916505692,8,4
425,treatment,3K7,both,no,yes,no,no,105703.71278375621,12,6
429,treatment,4J8,both,no,no,no,no,77814.949616081,9,5
432,treatment,rio,both,no,no,no,no,89440.47970039413,10,5
440,treatment,3A9,both,no,no,no,no,58549.677527512096,7,4
444,treatment,7M8,both,no,no,no,no,62271.22281278674,7,4
445,treatment,6T3,both,no,no,no,no,85963.59648841809,10,5
451,treatment,1V5,both,no,yes,no,no,64502.91011669809,7,4
456,treatment,5C5,takeout,no,no,no,no,48595.592403132105,6,3
473,treatment,3T5,both,no,no,no,no,44697.550829893255,5,3
474,treatment,7T7,takeout,no,no,no,no,52052.007213190904,6,3
475,treatment,ON,both,no,no,no,no,57209.95615912889,7,4
477,treatment,1Y4,takeout,no,no,no,no,80427.12205815656,9,5
484,treatment,1L0,both,no,no,no,no,105838.48203802753,12,7
492,treatment,1W0,both,no,no,no,no,43796.69249741995,5,3
494,treatment,4J9,both,no,yes,no,no,32509.66114493377,4,2
496,treatment,2B4,both,nonanswer,yes,no,no,86975.0932306576,10,5
498,treatment,2K2,both,no,no,no,no,45169.50407599668,5,3
515,treatment,3H2,both,no,no,no,no,133492.81644736195,15,8
521,treatment,3T6,takeout,no,no,no,no,55220.991379327825,6,3
524,treatment,ON,both,no,no,no,no,36178.06120011933,4,2
525,treatment,1P0,both,yes,nonanswer,no,no,63549.32219574103,7,4
527,treatment,6M3,both,no,no,no,no,97590.66397606338,11,6
534,treatment,3B9,both,no,yes,no,no,65645.85752268799,8,4
536,treatment,2C0,takeout,no,no,no,no,49864.72236478135,6,3
539,treatment,1B0,both,no,no,no,no,59513.99936507129,7,4
541,treatment,TON,both,no,no,no,yes,79090.4709022827,9,5
543,treatment,1J2,takeout,no,no,no,no,29378.645177871695,3,2
548,treatment,1E1,dinein,no,no,no,no,50944.3679486167,6,3
549,treatment,2H2,takeout,no,no,no,no,75886.17069634378,9,5
554,treatment,L8S,dinein,no,no,no,no,56466.69950923296,7,3
557,treatment,1K2,takeout,no,no,no,no,88330.49407353767,10,5
562,treatment,3L1,both,no,yes,no,no,261810.26038325173,30,16
564,treatment,1A7,both,no,yes,no,no,67824.6927263401,8,4
565,treatment,1H7,takeout,no,no,no,no,58579.24149706338,7,4
566,treatment,1C6,both,no,no,no,nonanswer,27662.322616033365,3,2
568,treatment,2T2,takeout,no,no,no,no,113476.25756058967,13,7
574,treatment,3C7,takeout,no,no,no,yes,58247.4758851495,7,4
582,treatment,2C6,both,no,no,no,no,55830.94377114784,6,3
585,treatment,1R1,takeout,no,no,no,no,117183.15477961402,14,7
588,treatment,4Y5,dinein,no,no,no,no,148137.92507412587,17,9
589,treatment,3A8,takeout,no,no,no,no,52914.752243248884,6,3
595,treatment,1A2,both,no,no,no,no,125308.04607323214,14,8
596,treatment,3P9,both,no,no,no,no,56790.60788012161,7,3
599,treatment,2G8,both,no,no,no,no,65447.15165177499,8,4
601,treatment,EEK,both,no,no,no,no,98237.23852099736,11,6
603,treatment,1C1,both,no,no,no,yes,34261.93021498794,4,2
606,treatment,1J0,takeout,no,no,no,no,26033.542774352016,3,2
610,treatment,1P5,dinein,no,yes,no,no,57762.07806775316,7,4
612,treatment,6H3,both,no,no,no,no,36967.97538912966,4,2
613,treatment,4K1,both,no,no,no,yes,77905.97231390554,9,5
614,treatment,eek,both,no,no,no,no,119346.5852890954,14,7
615,treatment,5G7,both,no,no,no,no,47267.47946210467,5,3
621,treatment,ON,both,no,no,no,no,141970.0175464423,16,9
622,treatment,4Z8,both,no,yes,no,no,36919.006228303355,4,2
624,treatment,1T5,takeout,no,no,no,no,31194.911516098247,4,2
626,treatment,4K9,takeout,no,no,no,no,58123.40894744609,7,4
630,treatment,9Y3,both,no,no,no,no,67312.4655718161,8,4
639,treatment,1G3,takeout,no,no,no,no,70119.72432022472,8,4
641,treatment,2L7,both,no,no,nonanswer,nonanswer,81480.40895986567,9,5
642,treatment,3X1,both,no,yes,no,no,162531.9251679603,19,10
643,treatment,1A9,both,no,no,no,no,67711.4010493147,8,4
644,treatment,6H1,both,no,no,no,no,82429.5390214832,10,5
647,treatment,1S3,both,no,no,no,no,107150.59977848333,12,7
650,treatment,0G9,both,no,no,no,no,88327.67315221642,10,5
652,treatment,4H7,both,no,no,no,no,80249.71058502082,9,5
656,treatment,1H0,both,no,no,no,no,65771.4088450198,8,4
661,treatment,0Y2,both,no,no,no,no,51610.984143063884,6,3
663,treatment,4V9,both,no,no,no,yes,42784.255584371,5,3
667,treatment,6B9,both,no,no,no,no,133556.66877209212,15,8
668,treatment,TON,both,no,no,no,no,62753.11348925091,7,4
670,treatment,TON,takeout,no,no,no,no,40000.3672924846,5,2
671,treatment,1J0,both,no,no,no,no,90180.47015784649,10,6
675,treatment,1E2,takeout,no,no,no,no,31744.846415525506,4,2
677,treatment,4P3,both,no,no,no,no,62234.09343359515,7,4
679,treatment,1J7,both,no,no,no,no,64783.35169158309,7,4
681,treatment,2P6,takeout,no,no,no,no,42495.326977856,5,3
689,treatment,5B4,both,no,no,no,no,86898.36117581472,10,5
691,treatment,1M2,both,no,yes,no,no,54630.297209257544,6,3
693,treatment,1A4,both,no,yes,no,no,100301.01612443588,12,6
694,treatment,4J8,takeout,no,no,no,no,47323.520868350875,5,3
699,treatment,1C6,both,no,no,no,no,69588.41017583899,8,4
700,treatment,4K1,both,no,no,no,no,175488.73135038285,20,11
702,treatment,1P0,both,no,no,no,no,15372.468168520521,2,1
704,treatment,1L6,both,no,no,no,no,50132.81021106823,6,3
707,treatment,1E9,takeout,no,no,no,no,72893.8264714481,8,4
708,treatment,8A2,both,no,no,no,no,59911.30302190715,7,4
709,treatment,4K5,both,no,no,no,no,38518.468680992395,4,2
710,treatment,3V9,takeout,no,no,no,yes,42389.99608042008,5,3
712,treatment,5J3,takeout,no,no,no,no,42396.18090309638,5,3
715,treatment,2C0,both,no,yes,no,no,103195.7289647408,12,6
716,treatment,2G0,takeout,no,yes,no,no,33296.243450979,4,2
717,treatment,0T7,takeout,no,yes,no,no,61368.93781593193,7,4
728,treatment,2C2,takeout,no,yes,no,no,47601.3923700831,6,3
729,treatment,9E7,both,no,no,no,yes,49880.82435107886,6,3
739,treatment,4R5,both,no,no,no,no,54804.79635093626,6,3
741,treatment,3E5,takeout,no,no,no,no,122371.86735085031,14,8
745,treatment,3L6,both,no,no,no,no,49415.73747080976,6,3
747,treatment,1J8,dinein,no,no,no,no,27522.90198109378,3,2
748,treatment,2M1,both,no,yes,no,no,35626.28004020052,4,2
753,treatment,3V6,dinein,no,no,no,no,67535.39984754445,8,4
756,treatment,3S4,both,no,no,no,no,83786.91232951134,10,5
761,treatment,3A4,both,no,no,no,no,155340.64681596405,18,10
764,treatment,1H0,both,no,no,no,no,28481.00964363409,3,2
765,treatment,2L9,both,no,no,no,no,92436.33771027616,11,6
770,treatment,1W0,both,no,no,no,no,80906.51232885262,9,5
771,treatment,1J9,takeout,no,no,no,no,124950.62587129138,14,8
776,treatment,1C4,both,no,no,no,no,32953.781911996884,4,2
779,treatment,1T5,takeout,no,no,no,no,21004.035163631343,2,1
780,treatment,4X5,both,no,no,no,no,53662.73134613415,6,3
785,treatment,1K2,both,no,no,no,no,35838.707896959866,4,2
787,treatment,3Z9,both,no,no,no,no,78351.56696239702,9,5
801,treatment,3K9,both,no,no,no,no,45935.177300690164,5,3
803,treatment,3M8,both,no,no,no,no,70513.0637616185,8,4
808,treatment,ON,both,no,no,no,no,36990.323886415354,4,2
811,treatment,1T8,both,no,no,no,no,80540.06683982309,9,5
816,treatment,2J0,dinein,no,no,no,yes,106266.57914543111,12,7
817,treatment,1R6,takeout,no,no,no,no,37927.8818149196,4,2
824,treatment,3W3,takeout,no,no,no,no,47157.14363020387,5,3
825,treatment,1C8,dinein,no,no,no,no,111835.13294430396,13,7
826,treatment,2Z5,takeout,no,no,no,no,47819.4676568765,6,3
827,treatment,2X2,both,no,no,no,nonanswer,27676.75831073414,3,2
832,treatment,2Z3,both,no,no,no,yes,52896.91986529082,6,3
833,treatment,3N1,takeout,no,no,no,no,37934.98903468962,4,2
834,treatment,2N1,both,no,no,no,no,104113.10795957093,12,6
835,treatment,5Y1,both,no,no,no,no,69189.35014734045,8,4
839,treatment,1N8,both,no,no,no,no,50209.45635221877,6,3
853,treatment,ON,takeout,no,no,no,no,51582.61026729351,6,3
854,treatment,1R1,both,no,no,no,yes,54933.55895199341,6,3
857,treatment,1K1,both,no,yes,no,no,41343.58973298611,5,3
860,treatment,0E5,takeout,no,no,no,no,61534.679373494546,7,4
862,treatment,4J1,both,no,no,no,no,73332.85574220312,8,5
864,treatment,1N7,both,no,no,no,no,73772.20126581618,9,5
870,treatment,1B5,takeout,no,no,no,no,115668.31034276694,13,7
871,treatment,3B4,takeout,no,no,no,no,33607.67590295927,4,2
878,treatment,2Y8,takeout,no,no,no,no,46683.52186481247,5,3
885,treatment,1H0,both,no,no,no,no,47917.21253135074,6,3
891,treatment,urg,takeout,no,no,no,no,42714.03828292491,5,3
898,treatment,5T1,dinein,no,yes,no,no,33586.19312703193,4,2
899,treatment,1E0,dinein,no,no,no,no,51093.53271601076,6,3
906,treatment,1W4,takeout,no,yes,no,no,49163.82162269787,6,3
908,treatment,2V3,takeout,no,no,no,no,43628.73868771834,5,3
926,treatment,2L9,takeout,no,no,no,no,94600.12028615577,11,6
928,treatment,2R1,takeout,no,no,no,no,49832.672200845656,6,3
929,treatment,1E7,takeout,no,no,no,no,70634.64477032416,8,4
936,treatment,1Z5,both,no,no,no,no,42318.111008944456,5,3
937,treatment,4V9,both,no,no,no,no,79254.15685037151,9,5
946,treatment,1C7,takeout,no,no,no,no,79695.81706558811,9,5
949,treatment,TON,both,no,no,no,no,66904.74722088537,8,4
951,treatment,1N0,dinein,no,no,no,no,116663.03745328345,13,7
955,treatment,1L0,takeout,no,no,no,no,57866.762814975125,7,4
958,treatment,3C1,both,no,no,no,yes,72296.37194162239,8,4
960,treatment,4S4,takeout,no,no,no,no,40164.32298552857,5,2
961,treatment,5N8,both,no,no,no,no,95274.64491935828,11,6
962,treatment,3A9,both,no,no,no,no,63541.80858906421,7,4
963,treatment,EEK,both,no,no,no,no,37412.131148044,4,2
966,treatment,1S6,both,nonanswer,yes,no,no,27851.12112928845,3,2
968,treatment,1H0,takeout,no,yes,no,no,50447.28821787555,6,3
969,treatment,1C4,both,no,NA,no,no,26067.98642869599,3,2
970,treatment,1G3,both,no,no,no,no,26633.17599508896,3,2
979,treatment,1A3,both,no,no,no,no,63585.401772974765,7,4
980,treatment,1H6,takeout,no,no,no,no,56956.245620202564,7,4
982,treatment,1E3,takeout,no,no,no,no,149283.61721181785,17,9
986,treatment,TON,both,no,no,no,no,189878.96483495954,22,12
987,treatment,3A3,both,no,no,no,no,76265.27081298386,9,5
988,treatment,3M2,both,no,no,no,no,193284.9722853022,22,12
990,treatment,2W5,both,no,no,no,no,77639.36534016952,9,5
994,treatment,1B0,both,no,no,no,no,47357.170055580085,5,3
998,treatment,1J0,both,no,no,no,no,62556.89136786117,7,4
1002,treatment,5E3,both,no,yes,no,no,43188.031248508196,5,3
1007,treatment,1A0,both,no,no,no,no,63992.36357670118,7,4
1008,treatment,2Y1,both,no,yes,no,no,28651.522014800896,3,2
1012,treatment,4X8,both,no,no,no,no,78649.62938904876,9,5
1013,treatment,2K0,both,no,no,no,no,86700.86898436895,10,5
1014,treatment,3K1,both,no,no,no,no,53960.45315400502,6,3
1022,treatment,ON,dinein,no,yes,no,no,54509.06625650519,6,3
1025,treatment,1L0,both,no,no,no,no,126712.74196616687,15,8
1031,treatment,4W3,both,no,no,no,nonanswer,53367.33663453696,6,3
1033,treatment,1P0,both,no,yes,no,no,42679.7522586971,5,3
1034,treatment,1C0,both,no,no,no,no,80397.0185003544,9,5
1035,treatment,1C3,takeout,no,yes,no,no,115911.57090590117,13,7
1036,treatment,4J4,both,no,no,no,no,58646.25145301186,7,4
1039,treatment,1A0,both,no,no,no,no,51516.41741698342,6,3
1041,treatment,4S6,both,no,no,no,no,67318.10686842515,8,4
1048,treatment,1H7,both,no,no,no,no,48102.05277503276,6,3
1049,treatment,ON,takeout,no,yes,no,no,69681.97091725243,8,4
1050,treatment,1A2,both,no,no,no,no,88926.38365746193,10,5
1053,treatment,3Y8,takeout,no,no,no,no,104043.76019020229,12,6
1057,treatment,1E1,takeout,no,no,no,no,57761.86154123703,7,4
1059,treatment,ON,both,no,no,no,no,67135.7012731502,8,4
1065,treatment,4W9,both,no,no,no,no,36540.572097110715,4,2
1071,treatment,4K8,both,no,no,no,no,43520.04427847323,5,3
1077,treatment,1C3,takeout,no,yes,no,no,49789.816486386175,6,3
1079,treatment,3S3,both,no,no,no,yes,81573.43455852356,9,5
1080,treatment,1L8,takeout,no,no,no,no,77479.1397443472,9,5
1081,treatment,1V1,both,no,yes,no,no,84125.40808426957,10,5
1082,treatment,3T5,both,no,yes,no,no,63077.47677744516,7,4
1093,treatment,1S4,both,no,yes,no,no,33915.31301329796,4,2
1094,treatment,1Y3,both,no,yes,no,yes,56198.186180149845,6,3
1097,treatment,4R5,both,no,no,no,no,41507.71545030043,5,3
1098,treatment,6C3,both,no,yes,no,no,21204.70012774398,2,1
1101,treatment,4N4,takeout,no,no,no,no,84693.0747745826,10,5
1102,treatment,1A2,both,no,no,no,no,71892.18960980597,8,4
1104,treatment,2L7,both,no,no,no,no,83366.8285436028,10,5
1105,treatment,1A2,dinein,no,no,no,no,26499.171082478824,3,2
1106,treatment,3K6,takeout,no,no,no,no,40179.73251364202,5,2
1111,treatment,1L6,takeout,no,no,no,no,43906.78290672097,5,3
1115,treatment,1H6,both,no,no,no,no,117484.47731059665,14,7
1117,treatment,EEK,takeout,no,no,no,no,58899.42593324953,7,4
1121,treatment,1S0,both,no,no,no,no,39839.94979779652,5,2
1122,treatment,1G0,takeout,no,yes,no,no,110898.11608909539,13,7
1124,treatment,1K0,takeout,no,no,no,no,97748.16504895822,11,6
1125,treatment,ON,both,no,no,no,no,53644.886112837645,6,3
1126,treatment,3V6,takeout,no,no,no,yes,106290.11595488411,12,7
1128,treatment,4W2,both,no,no,no,no,59723.240761485446,7,4
1129,treatment,4T9,takeout,no,no,no,no,29084.70179211347,3,2
1130,treatment,4S7,both,no,no,no,no,53811.02277930383,6,3
1135,treatment,3K7,takeout,no,no,no,no,37810.95439959925,4,2
1136,treatment,TON,both,no,no,no,no,35445.09981228612,4,2
1138,treatment,1A2,both,no,yes,no,no,76112.25907006445,9,5
1144,treatment,1R8,both,no,no,no,no,165261.97327218964,19,10
1147,treatment,0A6,both,no,no,no,no,100538.77216599128,12,6
1152,treatment,6H2,both,no,no,no,no,72918.74196870782,8,4
1155,treatment,1B3,takeout,no,yes,no,no,26329.09887914,3,2
1159,treatment,2M3,takeout,no,no,no,no,94251.64594098338,11,6
1168,treatment,1H3,takeout,no,no,no,no,50167.0919919584,6,3
1170,treatment,1A9,both,no,no,no,no,59938.304321269796,7,4
1172,treatment,1V6,both,no,no,no,no,82303.55017291255,10,5
1174,treatment,9E7,both,no,yes,no,no,56397.00376358598,7,3
1175,treatment,3Z4,both,no,no,no,yes,54015.11620315067,6,3
1176,treatment,4J1,both,no,no,no,no,122938.78021548312,14,8
1177,treatment,1H0,both,no,no,no,no,26634.399782517667,3,2
1180,treatment,3Z4,both,no,no,no,no,82180.12960973545,10,5
1181,treatment,3H7,both,no,no,no,no,60727.85848544216,7,4
1182,treatment,1S4,both,no,no,no,no,102171.64044134058,12,6
1183,treatment,1C0,both,no,no,no,no,156012.49004820472,18,10
1185,treatment,6H3,both,no,no,no,no,47081.425608077436,5,3
1187,treatment,3J6,takeout,no,no,no,no,36298.4078125583,4,2
1188,treatment,1G4,both,no,no,no,no,60114.90232271285,7,4
1191,treatment,1S4,takeout,no,no,NA,no,65017.94385314237,8,4
1196,treatment,2E0,both,no,no,no,no,49478.1370785145,6,3
1198,treatment,1J0,takeout,no,yes,no,no,38472.7025626861,4,2
1202,treatment,1B1,both,no,no,no,no,93987.20385675368,11,6
1203,treatment,1A1,takeout,no,no,no,no,63630.7301458548,7,4
1204,treatment,1K3,both,no,no,no,no,28185.057133053833,3,2
1205,treatment,1N1,dinein,no,no,no,no,72268.03479732588,8,4
1207,treatment,4V9,dinein,no,yes,no,no,94798.7902067449,11,6
1209,treatment,2C0,both,no,no,no,no,63217.8608908076,7,4
1211,treatment,1B4,takeout,no,no,no,no,75490.35006993069,9,5
1212,treatment,2K0,both,no,no,no,no,131224.92680200713,15,8
1214,treatment,0A3,both,no,no,no,no,21200.156835505593,2,1
1215,treatment,1V2,both,no,no,no,no,45894.76975223008,5,3
1220,treatment,1A3,both,no,no,no,yes,106647.77420371868,12,7
1224,treatment,1A1,both,no,yes,no,no,88062.46158648969,10,5
1226,treatment,5K7,both,no,no,no,no,204646.86827592424,24,13
1229,treatment,1B5,both,no,yes,no,no,35422.12706348868,4,2
1230,treatment,4A3,dinein,no,no,no,no,30834.3346284151,4,2
1234,treatment,1W0,both,no,no,no,no,71017.33442858799,8,4
1238,treatment,1B1,dinein,no,no,no,yes,48751.61173483165,6,3
1239,treatment,1J7,both,no,no,no,no,51873.815288464524,6,3
1243,treatment,2L5,both,yes,nonanswer,no,no,79254.56644475868,9,5
1245,treatment,1P0,both,no,no,no,no,44769.87671846306,5,3
1246,treatment,8A8,takeout,no,no,no,no,39959.929673976854,5,2
1249,treatment,TON,takeout,no,no,no,no,58859.26292484661,7,4
1250,treatment,1S0,both,no,no,no,no,59371.96294817352,7,4
1252,treatment,5W7,both,no,no,no,no,25550.93741890173,3,2
1255,treatment,1E4,takeout,no,no,no,no,46117.12220189438,5,3
1261,treatment,6P4,both,no,no,no,no,29574.853273439196,3,2
1265,treatment,ON,both,no,no,no,no,77727.58933762724,9,5
1266,treatment,4J8,both,no,no,no,yes,71262.96667344907,8,4
1270,treatment,ON,takeout,no,no,no,no,22015.16290981765,3,1
1273,treatment,5T9,takeout,no,no,no,no,42106.22492910086,5,3
1275,treatment,1A0,takeout,no,no,no,no,41760.08250347647,5,3
1283,treatment,1P8,both,no,no,no,no,126903.5141424579,15,8
1284,treatment,1H9,both,no,yes,no,no,68266.94952778981,8,4
1287,treatment,4C9,both,no,no,no,no,80952.28568408565,9,5
1288,treatment,ook,both,no,no,no,no,114559.62050594184,13,7
1300,treatment,4X5,both,nonanswer,yes,no,no,42406.408917178895,5,3
1312,treatment,1E0,takeout,no,no,no,no,43628.64082996393,5,3
1314,treatment,5J6,dinein,no,yes,no,no,60305.64770953923,7,4
