name,address,city,postal_code,latitude,longitude,stars,is_open,RestaurantsPriceRange2,RestaurantsTakeOut,RestaurantsDelivery,OutdoorSeating,categories,business_id
C & Dubbs Hamburgers,1706 Dundas St E,Mississauga,L4X 1L7,43.6159291,-79.5758544,3.5,1,2,True,False,False,"Hot Dogs, Restaurants, Burgers",owt49CrXMxyLNB_K8OY4-Q
Hole-E Burger,2419 Yonge Street,Toronto,M4P,43.7105539,-79.3987739,3.5,0,2,True,False,True,"American (Traditional), Restaurants, Food",Pdnh437o_59l0QZsxvQqLQ
The Bloordale Pantry,1285 Bloor Street W,Toronto,M6H 1N7,43.6583044,-79.442519,3.5,0,2,True,False,False,"Breakfast & Brunch, Restaurants",ULl0tYsqcHe3S-TqKD3mjw
Chicken Monster,101-5519 Yonge Street,Toronto,M2N 5S3,43.7783035425,-79.414961189,4,1,NA,True,False,NA,"Korean, Restaurants",ztzjD1Zs5tfMZTYKXkmL9Q
Loic Gourmet,722 Queen Street E,Toronto,M4M 1H2,43.6590524,-79.3493884,4,0,2,True,True,NA,"Food, Restaurants, Sandwiches, French, Event Planning & Services, Caterers, Specialty Food",DftK-qzebIR829HozNYfgQ
Momo's,196 Robert St,Toronto,M5S 2K7,43.6627752,-79.4039682,3.5,0,2,True,False,True,"Middle Eastern, Food, Bakeries, Restaurants",XmZX5wwhmL6Cfz0vBs0lxQ
Pita Land,"30 Eglinton Ave W, Unit #12B",Mississauga,L5R 3E7,43.6056233,-79.6526801,3.5,1,2,True,NA,NA,"Sandwiches, Halal, Restaurants, Middle Eastern, Food, Ethnic Food, Specialty Food",QHRF1RvAmZIbnXWK_fCPcQ
Archeo Focacceria,"6301 Silver Dart Drive, Terminal 3",Mississauga,L5P 1B2,43.6804611,-79.6117333,2.5,1,NA,NA,NA,NA,"Canadian (New), Restaurants",6AJEPExs2n_8QDZFDj9fkg
Mom's Korean Food,612 Bloor Street W,Toronto,M6G 1K7,43.6647061,-79.4138356,3,0,1,True,False,True,"Korean, Restaurants",_MA98TVmvVIy-XdI0poc7w
Epicure Cafe & Grill,502 Queen Street W,Toronto,M5V 2B3,43.6477412,-79.4012788,3.5,0,2,True,True,True,"Wine Bars, Bars, Nightlife, Restaurants, American (New), Canadian (New), Italian",nY2oBwH3s5sKox1mERIoVQ
McDonald's,468 Holland St W Building (L),Bradford,L3Z 0A2,44.1083929,-79.5895616,2.5,1,NA,True,False,NA,"Restaurants, Fast Food, Burgers, Food, Coffee & Tea",dgV3b_HRCGcrR1-OzkwHNA
Marvellous Edibles,120 Laird Dr,East York,M4G 3V3,43.7069028,-79.3622402,3.5,0,2,True,False,False,Restaurants,I24pVfCFcQXBU6cbw3cTbA
Extreme Pita,10755 Leslie Street,Richmond Hill,L4S 0B2,43.8993495,-79.3955903,4,0,1,True,False,False,"Fast Food, Restaurants, Mediterranean",WCjDihJH7VP5jXX-b-2pNw
Baby Point Lounge,343 Jane Street,Toronto,M6S 3Z3,43.6573337,-79.4873715,5,1,2,True,True,NA,"Event Planning & Services, Ukrainian, Venues & Event Spaces, Restaurants, Caterers",MTneG8wJrUxIzIfnHe_P-A
The Guild,1442 Dundas Street W,Toronto,M6J 1Y6,43.6496871,-79.4303087,3.5,0,NA,NA,NA,NA,"Canadian (New), Restaurants",R_nykJJfrfcfeF4Pof34nA
Smoke’s Poutinerie,410-85 Resolution Drive,Brampton,L6W 0A6,43.6790332,-79.7209256,3,1,NA,NA,NA,NA,"Poutineries, Restaurants, Fast Food",EaPIQm6ULaHkB4hcrfFWwA
Papa Giuseppe's,26 Lakeshore Road E,Mississauga,L5G 1C8,43.552026,-79.585589,4,1,2,True,True,True,"Pizza, Italian, Restaurants",91sdZ0d-5RMXNcBYB3uU0g
Lena's Roti & Doubles,"100 Maritime Ontario Boulevard, Unit 69",Brampton,L6S,43.749287699999996,-79.6977842,4,1,1,True,False,NA,"Caribbean, Restaurants, Indian",RE4qn28MEiDrM1PbdYVgxA
Irie Food Joint,745 Queen Street W,Toronto,M6J 1G1,43.646449,-79.4071412,4,0,NA,True,False,True,"Caribbean, Restaurants",0a1BBSewiusfCalA9UVEYA
The Vineyard,3918 Cottrelle Boulevard,Brampton,L6P 2R1,43.7843634,-79.663104,3,1,2,NA,True,NA,"Restaurants, Caribbean",iFQs_aqKm3ZpT_1ITgr7JA
Dumpling Buffet,3320 Midland Avenue,Toronto,M1V 1R4,43.807745179,-79.2895870283,3,0,NA,True,NA,NA,"Chinese, Restaurants",pvo-RRtvw1zBAHRzr8669w
Camarra's Pizzeria & Restaurant,2899 Dufferin Street,Toronto,M6B 3S7,43.7083419,-79.4530944,3,0,2,True,True,True,"Restaurants, Italian, Pizza, Event Planning & Services, Caterers",IN8BHY7zkhjUxUh4qnbrHg
Pizza Cafe,3774 Bathurst St.,Toronto,M3H 3M6,43.7379498,-79.4346761,4,1,1,True,False,False,"Kosher, Pizza, Sandwiches, Restaurants",aywCwIczds0RosdzqokZ8g
Tangra Villa Hakka Chinese Cuisine,"411 Manhattan Drive, Suite 3C",Markham,L3P,43.8811125834,-79.288773708,3.5,1,1,True,True,False,"Chinese, Indian, Restaurants",_PKXarw3GjlbwbXhjdpUMA
Yogi's Noodles,1550 S Gateway Road,Mississauga,L4W 5G6,43.632154,-79.6143273,3,1,1,True,False,NA,"Chinese, Fast Food, Restaurants",i4ZLquZaqB7dCu4P6gHGDQ
Swiss Chalet Rotisserie & Grill,1170 Burnhamthorpe Rd,Mississauga,L5C 4E6,43.5688421777,-79.6628948674,1.5,1,2,True,True,False,"Canadian (New), Restaurants, Comfort Food, American (Traditional)",qUkd14n2uMXEboKOwYw8uQ
Pagoda,4700 Keele Street,Toronto,M3J 2S5,43.7742392,-79.5014316,2,1,1,True,False,False,"Food, Chinese, Restaurants",Lij0OcvPD4LAnmklHQpDCg
DeCourses Café,3232 Lake Shore Blvd W,Toronto,M8V 1M1,43.5973433,-79.5217241,4.5,1,NA,NA,NA,NA,"Restaurants, Bubble Tea, Breakfast & Brunch, Food, Cafes",gc2XZigymAwwNkjihdkO5w
The Food And Art Café,105 Dundas St W,Whitby,L1N 2M1,43.8795877,-78.9428199,4.5,1,NA,NA,NA,NA,"Restaurants, Sandwiches, Breakfast & Brunch, Cafes, American (Traditional)",VRiol0eeDqe8_EeUytECqw
Wild Burger,709 Mount Pleasant Road,Toronto,M4S 2N4,43.7066823567,-79.3894361,3.5,0,2,True,False,False,"Restaurants, Burgers, Cheesesteaks",sHobmDWiTSsRvcE7H4KkgA
Quiznos,5170 Dixie Rd,Mississauga,L4W 1E3,43.6385565,-79.6259097,4,1,1,True,False,False,"Sandwiches, Restaurants",t5VKTE4GI92aASBANQFm4g
Bar Centrale,1095 Yonge Street,Toronto,M4W 2L8,43.6800369,-79.3905192,4,1,2,False,NA,NA,"Restaurants, Bars, Wine Bars, Nightlife, Italian",EwlA5wluJw5zzXxtA42brQ
Eric's Grill It Up,1 Bass Pro Mills Drive,Vaughan,L4K 2M9,43.8254468,-79.5384264,4,0,2,True,False,False,"Restaurants, Fast Food",LTO9FnQ9WtnqA9j9hYwNmA
Afghan Cuisine,"10909 Yonge Street, Unit 52",Richmond Hill,L4C 4M6,43.8931308924,-79.440486962,3,1,2,True,True,False,"Restaurants, Specialty Food, Afghan, Food, Ethnic Food, Halal, Pakistani",eRZuxjnaMviiVyvhejwTBQ
Mezbaan Food,50A Rexdale Blvd,Toronto,M9W 5Z3,43.7137919,-79.5592962,3,1,NA,NA,NA,NA,"Indian, Pakistani, Restaurants, Halal",yv4Ov5b21VI_-52BNRLolA
Burrito Zone,"5261 Highway 7 E, Suite B-102",Markham,L3P 1B8,43.8666884,-79.2837164,2.5,0,1,True,True,False,"Mexican, Restaurants",0C38ezzbBX-dWxpnnwYAzg
Revo Bistro,3315 Bloor Street W,Etobicoke,M8X 1E7,43.645247,-79.5203059,3,1,NA,NA,NA,True,"Restaurants, American (New), Canadian (New)",9Pd-hdvW3cBosL43_Yu0qQ
Pho Vietnamese Delight,3555 Don Mills Rd,North York,M2H 3N3,43.7933162861,-79.3542798885,2.5,1,1,True,False,False,"Vietnamese, Restaurants",hgCpzHx5IGvLRzMdFGWl6w
00 Gelato,370 King Street W,Toronto,M5V 1J9,43.6463119315,-79.391329296,4.5,1,1,True,NA,NA,"Ice Cream & Frozen Yogurt, Belgian, Restaurants, Food, Waffles, Desserts",OtAVXleSatkQeZn9Twg4Aw
Chinese Egg Waffle Vendor,"Dragon City Centre, 280 Spadina Ave",Toronto,M5T,43.6526355,-79.3983795,4.5,1,1,NA,NA,NA,"Waffles, Restaurants, Food, Desserts",Ct3EA87rf_liNzwzbmNUgw
31 Kitchen,"10 Ravel Road, Unit 1-2",Toronto,M2H 1S8,43.7903766,-79.365383,3,0,2,True,True,False,"Food, Restaurants, Desserts, Tea Rooms, Asian Fusion, Chinese, Japanese, Ramen, Coffee & Tea",4KHo1LnkM69RtWTDBdG16g
Daawat Sweets & Restaurant,375 Howden Boulevard,Brampton,L6S 4L6,43.7182235,-79.7441801,3.5,1,1,True,NA,False,"Indian, Restaurants",Mdk1C_CBlKjX1sfH-xLIBg
Subway,1506 Yonge Street,Toronto,M4T 1Z6,43.6889196,-79.3945875,1.5,1,1,True,False,False,"Restaurants, Sandwiches, Fast Food",AOhJfJVuEPUh_in7WHDnzQ
Diamond Banquet Hall,"First Markham Place, 3225 Highway 7 E",Markham,L3R 3P3,43.8486182868,-79.3502776479,3,0,2,True,False,False,"Asian Fusion, Chinese, Dim Sum, Event Planning & Services, Restaurants, Venues & Event Spaces",yJ5rA9U6nmSEUV8_j_jYHw
Com Tam Dao Vien Peach Garden Restaurant,"2437 Finch Avenue W, Unit 9 - 10",Toronto,M9M 2E7,43.7507696674,-79.5464342695,3.5,0,1,True,False,False,"Restaurants, Vietnamese",qW670GkK3WdOr3gQWpUegA
Burrito Boyz,74 Dundas Street E,Toronto,M5B 1C7,43.6563929,-79.378509,3.5,1,1,True,True,False,"Event Planning & Services, Caterers, Restaurants, Mexican, Canadian (New)",geQG2a9uO6Q9hXVx937Kbw
Harvey's,8865 Yonge St,Richmond Hill,L4C 6Z1,43.8436912,-79.4293337,3.5,1,1,True,False,False,"American (Traditional), Restaurants, Burgers, Fast Food",h5bY-5i3l6uPRqqYOxUMKg
Sapore Halal Italian Eatery,"3085 Hurontario Street, Unit 13-15",Mississauga,L5A 4E4,43.5819682,-79.6185932,3,0,2,True,NA,NA,"Italian, Restaurants, Food",g9CAs2KjZl2FIaCAYULMjg
Red King Kong,235-3255 Highway 7,Markham,L3R 3P9,43.849850000000004,-79.3476695,3.5,0,1,True,False,False,"Asian Fusion, Japanese, Ramen, Noodles, Restaurants, Korean",y1uN3Tj97O9u2xCVhJuaLw
Korean Grill House,754 Yonge Street,Toronto,M4Y 2B6,43.6692612,-79.3868327,3,1,2,False,False,False,"Korean, Restaurants",q0hAKzn_LmyUiScCuWS4Hg
Cabana Restaurant & Lounge,"1590 Dundas Street E, Unit 3",Mississauga,L4X 2Z2,43.6135163,-79.5778153,3.5,1,NA,True,False,NA,"Restaurants, Nightlife, Caribbean, Bars, Lounges",SkBGVCUrv7AOEiik-h9cEQ
Arbat,"1416 Centre Street, Unit 14-15",Thornhill,L4J 8N4,43.8070567029,-79.4716911904,3.5,1,NA,True,True,False,"Russian, Restaurants",7IZZ29OOvaX7T3YSL11m5Q
McDonald's,630 Keele St,Toronto,M6N 3E5,43.672212,-79.467928,1,1,2,True,False,True,"Fast Food, Burgers, Restaurants, Food, Coffee & Tea",2vuAlukfUZf3vbHsexEeDw
Mercado Negro,1370 Street Clair W,Toronto,M6E 1C4,43.675498504,-79.4547262134,5,1,NA,NA,NA,True,"Tapas/Small Plates, Cafes, Restaurants, Sandwiches",5IRIBTFKc_vfiMnN667gbQ
Freshii,"3389 Steeles Avenue E, Suite 130A",Toronto,M2H 3S8,43.8136867,-79.3440034,2,1,NA,True,True,False,"Salad, Restaurants, Food, Juice Bars & Smoothies, Soup, Vegetarian, Fast Food",kwXTdolA_0G2haHW4To5kA
Dessert Lady Café,1 Sultan Street,Toronto,M5S 1L6,43.6687719039,-79.3902338231,3.5,1,NA,True,False,NA,"Food, Desserts, Bakeries, Breakfast & Brunch, Restaurants",1RE-r3jSXwDoH252u2or1g
Kay Pacha,744 St Clair Avenue W,Toronto,M6C 1B5,43.6813999,-79.4278949,4,1,3,False,False,True,"Peruvian, Restaurants",PwJO7Z7RL4hkBSCHsRRE7Q
Corrado's,118 John Street,Toronto,M5V 2E2,43.6482939644,-79.3906370695,4.5,0,1,True,False,False,"Greek, Pizza, Restaurants, Italian",Grr2wJ3nYD_7qUyespDglA
Orchid Thai,15474 Yonge Street,Aurora,L4G 1P2,44.0049563,-79.469202,4.5,1,2,True,False,False,"Restaurants, Thai, Seafood, Chinese",qGtagj4xXNrF9rIEkiihTw
Sushi Xtra,423 Queen Street West,Toronto,M5V 2A5,43.6487356,-79.3952314,2.5,0,2,True,True,False,"Restaurants, Sushi Bars",LuBj6jfwKsbpKy441wkRlQ
Simple Bistro,619 Mount Pleasant Road,Toronto,M4S 2M5,43.7042023,-79.3882807,3,0,3,True,False,False,"Breakfast & Brunch, French, Restaurants",d4bVdEDwxmyB0M-w5vNNPg
The Fish Store & Sandwiches,657 College Street,Toronto,M6G 1B7,43.6549209,-79.4163139,4,1,1,True,False,True,"Restaurants, Seafood, Sandwiches",IfUkm42SB9D0m_ZbkQ711A
Yo Amo Tacos,7034 Islington Avenue,Vaughan,L4L 1V8,43.7649111,-79.5762833,2.5,1,2,True,False,True,"Mexican, Restaurants",HtctU6CwYrKN3r2SL259EA
Sugar Marmalade,"3278 Midland Avenue, Unit D106",Toronto,M1V 0C9,43.80492921,-79.288043417,3,1,1,True,False,False,"Food, Desserts, Juice Bars & Smoothies, Restaurants, Taiwanese",2PCz_uVX7GOXtGHNXAPXhw
Cosmic Treats,207 Augusta Avenue,Toronto,M5T 2L4,43.6540622,-79.4014786,4,0,2,True,False,True,"Ice Cream & Frozen Yogurt, American (Traditional), Restaurants, Bakeries, Vegan, Food, Breakfast & Brunch, Desserts",U3A716YhAWFkyURKcfUo7A
Kanga,1179 Victoria Park Avenue,Scarborough,M4B 2K5,43.71026,-79.2962343,3.5,1,NA,True,False,False,"Sri Lankan, Australian, Restaurants",R6glycHsF99Vmpc1rLSgwQ
Mr. Greek,5083 Dixie Road,Mississauga,L4W 5K1,43.6383115879,-79.6219116257,3,1,NA,NA,NA,NA,"Greek, Restaurants",fiLJZiFhiAXLJ9qnNfFObA
The Carlton Restaurant,"Holiday Inn, 30 Carlton Street",Toronto,M5B 2E9,43.6617125,-79.3811043,4.5,1,NA,NA,NA,NA,"Restaurants, Canadian (New)",U7JrKn4fYW2RpJa7Nl-X_g
Thai Express,505 University Avenue,Toronto,M5G,43.6558353,-79.3881303,2.5,1,2,True,False,NA,"Fast Food, Thai, Restaurants",_o2fJBcVgLpy-L970Y7qYQ
