dim_profile_of_health_regions_2247,member_id_profile_of_health_regions_2247,dim_sex_3_member_id_1_total_sex,dim_sex_3_member_id_2_male,dim_sex_3_member_id_3_female
Total - Selected places of birth for the immigrant population in private households - 25% sample data,1157,130370,61495,68875
Americas,1158,17015,7520,9490
Europe,1170,63400,30100,33295
Africa,1188,7495,3610,3885
Asia,1198,42025,20040,21985
Oceania and other places of birth,1216,440,220,220
Refugees,1287,24535,12695,11835
Total - Aboriginal identity for the population in private households - 25% sample data,1289,527930,258710,269220
Aboriginal identity,1290,12135,5890,6245
Single Aboriginal responses,1291,11655,5650,6010
First Nations (North American Indian),1292,8445,4050,4400
Total visible minority population,1324,100055,48805,51255
South Asian,1325,22110,11055,11050
Chinese,1326,10075,4880,5195
Black,1327,20245,9920,10325
Filipino,1328,8150,3480,4670
Latin American,1329,8425,4010,4415
Arab,1330,10330,5525,4810
Southeast Asian,1331,6505,3110,3390
West Asian,1332,4800,2385,2415
Korean,1333,2090,990,1100
Japanese,1334,1060,465,590
"Visible minority, n.i.e.",1335,2535,1225,1305
Multiple visible minorities,1336,3745,1755,1990
Not a visible minority,1337,427875,209910,217965
"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",1683,441055,214025,227030
"No certificate, diploma or degree",1684,87880,43725,44155
Secondary (high) school diploma or equivalency certificate,1685,125445,62090,63360
"Postsecondary certificate, diploma or degree",1686,227735,108215,119515
Apprenticeship or trades certificate or diploma,1687,30600,21575,9025
Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,1688,14475,8645,5830
Certificate of Apprenticeship or Certificate of Qualification,1689,16130,12930,3195
"College, CEGEP or other non-university certificate or diploma",1690,99070,42420,56655
University certificate or diploma below bachelor level,1691,8155,3530,4625
"University certificate, diploma or degree at bachelor level or above",1692,89905,40700,49210
Bachelor's degree,1693,60005,26040,33960
University certificate or diploma above bachelor level,1694,5980,2570,3410
"Degree in medicine, dentistry, veterinary medicine or optometry",1695,3050,1655,1395
Master's degree,1696,17020,8005,9015
Earned doctorate,1697,3860,2425,1435
Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2016 - 25% sample data,1884,278645,144055,134590
Occupation - not applicable,1885,6655,3395,3260
All occupations,1886,271990,140660,131330
0 Management occupations,1887,26770,16430,10340
"1 Business, finance and administration occupations",1888,38810,11560,27255
2 Natural and applied sciences and related occupations,1889,15600,12585,3020
3 Health occupations,1890,21745,4195,17545
"4 Occupations in education, law and social, community and government services",1891,33110,10730,22380
"5 Occupations in art, culture, recreation and sport",1892,7755,3625,4130
6 Sales and service occupations,1893,66560,27500,39065
"7 Trades, transport and equipment operators and related occupations",1894,40690,38320,2365
"8 Natural resources, agriculture and related production occupations",1895,4685,3595,1090
9 Occupations in manufacturing and utilities,1896,16270,12130,4145
Total Labour Force population aged 15 years and over by Industry - North American Industry Classification System (NAICS) 2012 - 25% sample data,1897,278640,144055,134585
Industry - NAICS2012 - not applicable,1898,6650,3390,3260
All industry categories,1899,271985,140660,131325
"11 Agriculture, forestry, fishing and hunting",1900,2865,1750,1110
"21 Mining, quarrying, and oil and gas extraction",1901,315,285,35
22 Utilities,1902,1310,990,320
23 Construction,1903,20110,17610,2500
31-33 Manufacturing,1904,33150,25375,7780
41 Wholesale trade,1905,11105,7770,3340
44-45 Retail trade,1906,32200,14575,17620
48-49 Transportation and warehousing,1907,11465,8530,2940
51 Information and cultural industries,1908,5545,3205,2345
52 Finance and insurance,1909,10835,4330,6500
53 Real estate and rental and leasing,1910,4870,2600,2270
"54 Professional, scientific and technical services",1911,15705,8550,7155
55 Management of companies and enterprises,1912,400,170,230
"56 Administrative and support, waste management and remediation services",1913,14130,8360,5770
61 Educational services,1914,24300,8100,16205
62 Health care and social assistance,1915,36280,6455,29825
"71 Arts, entertainment and recreation",1916,4835,2585,2260
72 Accommodation and food services,1917,18325,7280,11040
81 Other services (except public administration),1918,11740,5515,6220
91 Public administration,1919,12485,6630,5860
Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,1920,259065,133290,125775
Worked at home,1921,15785,7575,8205
Worked outside Canada,1922,985,725,265
No fixed workplace address,1923,29165,21435,7730
Worked at usual place,1924,213135,103560,109570
Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data,1925,213130,103560,109575
Commute within census subdivision (CSD) of residence,1926,142620,63325,79290
Commute to a different census subdivision (CSD) within census division (CD) of residence,1927,0,0,0
Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence,1928,70095,40005,30090
Commute to a different province or territory,1929,415,225,190
