dim_profile_of_health_regions_2247,member_id_profile_of_health_regions_2247,dim_sex_3_member_id_1_total_sex,dim_sex_3_member_id_2_male,dim_sex_3_member_id_3_female
Americas,1158,27020,12615,14400
Europe,1170,66825,32500,34325
Africa,1188,6190,3155,3035
Asia,1198,35940,17100,18835
Oceania and other places of birth,1216,540,310,230
Refugees,1287,22745,11885,10860
Total - Aboriginal identity for the population in private households - 25% sample data,1289,936390,459590,476800
Aboriginal identity,1290,22530,10455,12070
Single Aboriginal responses,1291,21800,10125,11680
First Nations (North American Indian),1292,15470,7190,8275
Total visible minority population,1324,89745,44365,45380
South Asian,1325,14430,7340,7090
Chinese,1326,11855,5540,6315
Black,1327,14605,7615,6990
Filipino,1328,4710,1960,2750
Latin American,1329,10365,5005,5365
Arab,1330,14235,7430,6800
Southeast Asian,1331,6050,2975,3075
West Asian,1332,3445,1645,1795
Korean,1333,3855,1815,2040
Japanese,1334,1075,505,580
"Visible minority, n.i.e.",1335,2310,1185,1130
Multiple visible minorities,1336,2795,1340,1455
Not a visible minority,1337,846650,415225,431420
"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",1683,776795,378005,398795
"No certificate, diploma or degree",1684,157030,81305,75720
Secondary (high) school diploma or equivalency certificate,1685,223275,111035,112235
"Postsecondary certificate, diploma or degree",1686,396495,185660,210830
Apprenticeship or trades certificate or diploma,1687,57170,41450,15710
Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification,1688,25590,15670,9920
Certificate of Apprenticeship or Certificate of Qualification,1689,31580,25785,5795
"College, CEGEP or other non-university certificate or diploma",1690,186780,77275,109505
University certificate or diploma below bachelor level,1691,13385,5960,7425
"University certificate, diploma or degree at bachelor level or above",1692,139160,60970,78190
Bachelor's degree,1693,92580,38400,54180
University certificate or diploma above bachelor level,1694,9995,3970,6025
"Degree in medicine, dentistry, veterinary medicine or optometry",1695,5300,3035,2265
Master's degree,1696,25275,11725,13540
Earned doctorate,1697,6010,3835,2175
Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2016 - 25% sample data,1884,497970,259070,238900
Occupation - not applicable,1885,9140,4545,4595
All occupations,1886,488835,254530,234305
0 Management occupations,1887,54590,34460,20130
"1 Business, finance and administration occupations",1888,64865,17225,47635
2 Natural and applied sciences and related occupations,1889,23615,18395,5220
3 Health occupations,1890,36720,6575,30145
"4 Occupations in education, law and social, community and government services",1891,53035,15990,37045
"5 Occupations in art, culture, recreation and sport",1892,11630,4955,6680
6 Sales and service occupations,1893,110835,44350,66485
"7 Trades, transport and equipment operators and related occupations",1894,79950,74745,5205
"8 Natural resources, agriculture and related production occupations",1895,15785,11300,4480
9 Occupations in manufacturing and utilities,1896,37810,26540,11270
Total Labour Force population aged 15 years and over by Industry - North American Industry Classification System (NAICS) 2012 - 25% sample data,1897,497965,259070,238900
Industry - NAICS2012 - not applicable,1898,9140,4545,4595
All industry categories,1899,488830,254530,234305
"11 Agriculture, forestry, fishing and hunting",1900,25235,16990,8245
"21 Mining, quarrying, and oil and gas extraction",1901,1755,1605,150
22 Utilities,1902,7725,6025,1705
23 Construction,1903,37455,33490,3960
31-33 Manufacturing,1904,64075,46165,17915
41 Wholesale trade,1905,16610,11820,4790
44-45 Retail trade,1906,54530,24895,29630
48-49 Transportation and warehousing,1907,21405,16105,5300
51 Information and cultural industries,1908,7000,3655,3355
52 Finance and insurance,1909,20180,7335,12845
53 Real estate and rental and leasing,1910,7260,3945,3310
"54 Professional, scientific and technical services",1911,24220,12560,11655
55 Management of companies and enterprises,1912,295,125,170
"56 Administrative and support, waste management and remediation services",1913,20970,11625,9345
61 Educational services,1914,35705,11185,24525
62 Health care and social assistance,1915,61955,9905,52050
"71 Arts, entertainment and recreation",1916,10130,4810,5320
72 Accommodation and food services,1917,32795,12195,20600
81 Other services (except public administration),1918,21705,10440,11260
91 Public administration,1919,17830,9655,8175
Total - Place of work status for the employed labour force aged 15 years and over in private households - 25% sample data,1920,466270,242280,223995
Worked at home,1921,42620,22890,19730
Worked outside Canada,1922,1630,1170,465
No fixed workplace address,1923,50870,38030,12835
Worked at usual place,1924,371150,180185,190960
Total - Commuting destination for the employed labour force aged 15 years and over in private households with a usual place of work - 25% sample data,1925,371150,180190,190960
Commute within census subdivision (CSD) of residence,1926,225135,102925,122215
Commute to a different census subdivision (CSD) within census division (CD) of residence,1927,70245,34445,35795
Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence,1928,74890,42310,32580
Commute to a different province or territory,1929,885,510,375
