Facility Name,Site Address,Community,Inspection Area,Last Inspected,Last Infractions,Services
AH-SO SUSHI,"#385 Fairway RD S,  KITCHENER ON N2C 2N9",KITCHENER,Food Safety,16-Jan-2020,,-
AJ. PETRO LTD.,"#1212 King St N,  ST. JACOBS ON N0B 2N0",ST. JACOBS,Food Safety,24-Jan-2020,,-
AJI IZAKAYA,"#3, 4-561 Hespeler RD,  CAMBRIDGE ON N1R 6J4",CAMBRIDGE,Food Safety,28-Feb-2020,,-
AJSEL'S CAKERY,"#104-141 Whitney Pl,  Kitchener ON N2G 2X8",KITCHENER,Food Safety,29-Jul-2019,,-
AL BARAKAH,"#6-100 Sheldon Dr,  Cambridge ON N1R 7S7",CAMBRIDGE,Food Safety,29-Jan-2021,8,-
AL SALEM CONVENIENCE STORE,"#554 Highland Rd W,  Kitchener ON N2M 5G3",AYR,Food Safety,05-Nov-2020,1,-
AL UMMAH   FOODS,"#23-480 Hespeler RD,  CAMBRIDGE ON N1R 7R9",CAMBRIDGE,Food Safety,04-Sep-2020,,-
ALBERT DOUGHNUTS BAKE SHOP,"#3-250 Dundas St. S,  Cambridge ON N1R 8A8",CAMBRIDGE,Food Safety,17-Sep-2020,,-
ALBERT MCCORMICK ARENA,"#500 PARKSIDE DR,  WATERLOO ON N2L 5J4",WATERLOO,Food Safety,22-Oct-2019,,-
ALEXANDRA DAY NURSERY,"#68 ALEXANDRA Ave,  WATERLOO ON N2L 1L7",WATERLOO,Food Safety,13-Jan-2020,,-
ALGARVE RESTAURANT,"#10-248 STIRLING Ave S,  KITCHENER ON N2G 4L1",KITCHENER,Food Safety,01-Dec-2020,,-
ALL GOOD THINGS,"#A2-190 St Andrews St,  Cambridge ON N1S 1N5",CAMBRIDGE,Food Safety,05-Jun-2020,3,-
ALL JAM PACKED,"#23 WATER ST N,  KITCHENER ON N2H 5A4",KITCHENER,Food Safety,19-Jun-2019,,-
ALL THINGS TEA,"#681 BELMONT Ave W,  KITCHENER ON N2M 1N8",KITCHENER,Food Safety,02-Aug-2019,,-
ALLAN & LAURENE MARTIN - PASTRY PANTRY,"#1892 LISTOWEL RD,  WELLESLEY ON N3B 2Z3",WELLESLEY,Food Safety,23-Oct-2019,,-
ALLAN REUTER CENTRE: CAFETERIA,"#507 KING ST E,  CAMBRIDGE ON N3H 3N4",CAMBRIDGE,Food Safety,09-Apr-2019,,-
ALMADINA,"#2-330 The Boardwalk,  WATERLOO ON N2T 0A6",WATERLOO,Food Safety,04-Nov-2019,2,-
AL-MADINA HALAL MEAT,"#210 Elgin St N,  CAMBRIDGE ON N1R 5J1",CAMBRIDGE,Food Safety,22-Oct-2020,3,-
ALPINE CAFE,"#501 KRUG ST,  KITCHENER ON N2B 1L3",KITCHENER,Food Safety,21-Feb-2020,,-
ALPINE CLUB,"#464 MAPLE Ave,  KITCHENER ON N2H 4X5",KITCHENER,Food Safety,08-Oct-2019,,-
AL'S PIZZA & WINGS,"#21 McKay St,  Cambridge N1R 4G2",CAMBRIDGE,Food Safety,05-Aug-2020,,-
AL-SHUKRAN GROCERS,"#A1-525 Saginaw Parkway,  Cambridge ON N1T 2A6",CAMBRIDGE,Food Safety,19-Oct-2020,4,-
AMBROSIA CORNER BAKERY,"#324 Frederick Street,  Kitchener ON N2H 2N9",KITCHENER,Food Safety,03-Dec-2020,1,-
AMERICA LATINA GROCERY & EATERY,"#D-1120 Victoria St N,  Kitchener ON N2B 3T2",KITCHENER,Food Safety,29-Jul-2019,,-
AMICI,"#30 GLAMIS RD,  CAMBRIDGE ON N1R 7H5",CAMBRIDGE,Food Safety,18-Nov-2019,4,-
AMMAR HALAL MEAT FOOD MART INC.,"#4-315 LANCASTER ST W,  KITCHENER ON N2H 4V4",KITCHENER,Food Safety,25-Sep-2020,,-
ANDY'S PIZZA,"#14 WELLINGTON ST,  CAMBRIDGE ON N1R 3Y5",CAMBRIDGE,Food Safety,25-Feb-2020,2,-
ANGEL'S DINER,"#1-560 Hespeler RD,  CAMBRIDGE ON N1R 6J8",CAMBRIDGE,Food Safety,30-Jul-2020,,-
ANGEL'S FAMILY RESTAURANT,"#190 Weber ST N,  WATERLOO ON N2J 3H4",WATERLOO,Food Safety,28-Aug-2019,,-
ANGEL'S FAMILY RESTAURANT,"#751 VICTORIA ST S,  KITCHENER ON N2M 5N4",KITCHENER,Food Safety,03-Feb-2021,4,-
ANGIE'S,"#47 ERB ST W,  WATERLOO ON N2L 1S8",WATERLOO,Food Safety,03-Mar-2020,2,-
ANGIE'S KITCHEN,"#1761 ERB'S RD W,  ST. AGATHA ON N0B 2L0",ST. AGATHA,Food Safety,31-Jan-2021,1,-
ANNA TOLAZZI ARTISAN CHOCOLATES,"#36 DEKAY ST,  KITCHENER ON N2H 3T2",KITCHENER,Food Safety,04-Sep-2019,,-
ANNA'S BBQ CART,"#166 Park St,  Kitchener ON N2G 1M8",KITCHENER,Food Safety,25-Sep-2019,1,-
ANOKHI,"#3-135 Gateway Park Dr,  Kitchener ON N2P 2J9",KITCHENER,Food Safety,-,,-
ANSELMA HOUSE,"#700 HERITAGE DR,  KITCHENER ON N2A 3N9",KITCHENER,Food Safety,10-Sep-2019,1,-
ANTI CAFE,"#42 Bridgeport Rd E,  Waterloo Ontario N2J 0B3",WATERLOO,Food Safety,17-Dec-2019,,-
ANUBIS COFFEE IMPORTING,"#1A-710 King Street E,  Cambridge ON N3H 3N9",CAMBRIDGE,Food Safety,04-Feb-2020,1,-
AOK CRAFT BEER & ARCADE,"#B03-165  King Street West,  Kitchener ON N2G 1A7",KITCHENER,Food Safety,-,,-
APOLLO CINEMA,"#141 ONTARIO St N,  KITCHENER ON N2H 4Y5",KITCHENER,Food Safety,08-Aug-2019,,-
APPLE INN KITCHEN,"#3692 Nafziger Rd,  Wellesley Ontario",WELLESLEY,Food Safety,22-Jul-2020,,-
AQUA LOUNGE RESTAURANT,"#105 KING ST E,  KITCHENER ON N2G 2K8",KITCHENER,Food Safety,31-Jan-2020,,-
ARABELLA PARK BEER BAR,"#2-740 BELMONT Ave W,  KITCHENER ON N2M 1P2",KITCHENER,Food Safety,16-Dec-2019,,-
ARABESQUE CAFE FAMILY RESTAURANT,"#869 VICTORIA ST N,  KITCHENER ON N2B 3C3",KITCHENER,Food Safety,11-Aug-2020,,-
ARAMARK RIVERBEND,"#590 RIVERBEND RD,  KITCHENER ON N2K 3S2",KITCHENER,Food Safety,20-Feb-2020,1,-
ARARAT YOUTH CENTRE,"#35 INTERNATIONAL VILLAGE DR,  CAMBRIDGE ON N1R 7M5",CAMBRIDGE,Food Safety,18-Nov-2019,1,-
ARBOR KITCHEN & BAR,"#30 FAIRWAY RD S,  KITCHENER ON N2A 2N2",KITCHENER,Food Safety,15-Oct-2020,1,-
ARBY'S,"#971 VICTORIA ST N,  KITCHENER ON N2B 3C6",KITCHENER,Food Safety,19-Aug-2020,,-
ARBY'S,"#1-330 Farmers Market Rd,  WOOLWICH ON N2V 0A5",WOOLWICH,Food Safety,26-Aug-2020,4,-
ARENA CONCESSIONS- WATERLOO RECREATION COMPLEX,"#100 FATHER DAVID BAUER DR,  WATERLOO ON N2J 4A8",WATERLOO,Food Safety,21-May-2019,1,-
ARES PIZZA,"#287 KING ST E,  KITCHENER ON N2G 2L2",KITCHENER,Food Safety,20-Oct-2020,2,-
ARGUS RESIDENCE FOR YOUNG MEN,"#115 WELLINGTON ST,  CAMBRIDGE ON N1R 3Y8",CAMBRIDGE,Food Safety,29-Jan-2020,,-
ARGYLE ARMS RESTAURANT & PUB,"#210 KING ST E,  CAMBRIDGE ON N3H 3M6",CAMBRIDGE,Food Safety,10-Sep-2020,5,-
ARK RESIDENTIAL CARE FACILITY,"#125 WATER ST N,  KITCHENER ON N2H 5B1",KITCHENER,Food Safety,09-Oct-2020,3,-
ARMENIAN COMMUNITY CENTRE,"#15 INTERNATIONAL VILLAGE DR,  CAMBRIDGE ON N1R 7M5",CAMBRIDGE,Food Safety,13-Mar-2020,,-
ARMY NAVY & AIRFORCE GALL,"#2-408 GAGE AVE,  KITCHENER ON N2M 5C9",KITCHENER,Food Safety,02-Dec-2019,2,-
AROMA CAFE,"#33 ERB ST W,  WATERLOO ON N2L 1S8",WATERLOO,Food Safety,20-Jan-2021,,-
ARYANA SUPERMARKET,"#4-324 Highland Rd W,  Kitchener ON N2M 5G2",KITCHENER,Food Safety,02-Mar-2020,,-
ASAKUSA,"#8A-150 UNIVERSITY AVE W,  WATERLOO ON N2L 3E4",WATERLOO,Food Safety,17-Jun-2020,5,-
ATS CAFETERIA (BLDG.#1),"#1-730 FOUNTAIN ST N,  CAMBRIDGE ON N3H 4R7",CAMBRIDGE,Food Safety,24-Sep-2019,,-
ATS-BUILDING #2,"#730 FOUNTAIN ST N,  CAMBRIDGE ON N3H 4R7",CAMBRIDGE,Food Safety,24-Sep-2019,,-
ATS-BUILDING #3,"#730 FOUNTAIN ST N,  CAMBRIDGE ON N3H 4R7",CAMBRIDGE,Food Safety,24-Sep-2019,,-
AUNTIE'S GROVE PRESERVES,"#1232 NORTHFIELD DR E,  WOOLWICH ON N0B 2N0",WOOLWICH,Food Safety,12-Sep-2019,1,-
AUNTY'S KITCHEN & CATERING,"#11-101 Hazelglen Dr,  KITCHENER ON N2M 2G1",KITCHENER,Food Safety,09-Nov-2020,1,-
AUNTY'S KITCHEN & HANDMADE BURGERS,"#160 UNIVERSITY Ave W,  WATERLOO ON N2L 3E9",WATERLOO,Food Safety,27-Nov-2020,2,-
AVA CO. COFFEE TRUCK,"#Broil King Parking lot-  6 Shirley Ave,  KITCHENER ON",KITCHENER,Food Safety,19-Feb-2020,,-
AVENUE ROAD BAPTIST CHURCH,"#465 Avenue RD,  CAMBRIDGE ON N1R 5S4",CAMBRIDGE,Food Safety,07-Nov-2019,,-
AVI8TOR CAFE,"#4881 Fountain St N,  WOOLWICH ON N0B 1M0",WOOLWICH,Food Safety,26-Oct-2020,,-
AYR COMMUNITY CENTRE,"#7 Church St,  AYR ON N0E 1E0",AYR,Food Safety,22-Oct-2019,2,-
AYR CURLING CLUB,"#210 NORTHUMBERLAND ST,  AYR ON N0B 1E0",AYR,Food Safety,16-Oct-2019,,-
AYR DOLLAR STORE,"#124 STANLEY ST,  AYR ON N0B 1E0",AYR,Food Safety,12-Feb-2020,2,-
AYR EARLY LEARNING CENTER,"#39 Gibson St,  Ayr ON N1B 1E0",AYR,Food Safety,-,,-
AYR FOODLAND,"#1011 NORTHUMBERLAND ST,  North Dumfries ON N0B 1E0",AYR,Food Safety,14-Aug-2020,1,-
AYR VILLAGE PIZZA,"#A-22 NORTHUMBERLAND ST,  AYR ON N0B 1E0",AYR,Food Safety,12-Feb-2020,1,-
AYRES NUT & BAKING SUPPLIES,"#354 KING ST N,  WATERLOO ON N2J 2Z1",WATERLOO,Food Safety,-,,-
A-Z VARIETY & VIDEO,"#127 WATER ST N,  KITCHENER ON N2H 5B1",KITCHENER,Food Safety,06-May-2020,1,-
AZORES BAKERY,"#244 ELGIN ST N,  CAMBRIDGE ON N1R 5J1",CAMBRIDGE,Food Safety,24-Jun-2020,,-
B @ THEMUSEUM,"#10 King St W,  KITCHENER ON N2G 1A3",KITCHENER,Food Safety,13-Feb-2020,2,-
B ELEGANT CATERING,"#700 Hespeler Rd,  Cambridge ON N3H 5L8",CAMBRIDGE,Food Safety,-,,-
BABA BAZAR,"#210 Elgin St N,  CAMBRIDGE ON N1R 5J1",CAMBRIDGE,Food Safety,29-Sep-2020,3,-
BABA CHICKEN GRILL,"#29-170 UNIVERSITY Ave W,  WATERLOO ON N2L 3E9",WATERLOO,Food Safety,10-Feb-2020,3,-
BABYLON,"#200 King St E,  KITCHENER ON N2G 2L1",KITCHENER,Food Safety,16-Mar-2020,3,-
BAD AXE THROWING,"#2-321 WEBER STREET NORTH,  WATERLOO ON N2J 3H8",WATERLOO,Food Safety,28-Jun-2019,,-
BADEN COFFEE COMPANY,"#1427 GINGERICH RD,  BADEN ON",BADEN,Food Safety,10-Mar-2020,2,-
BAILEY'S LOCAL FOODS,"#16 William St  W,  WATERLOO ON N2L 1J3",WATERLOO,Food Safety,25-Nov-2019,,-
"BAKE SHOP ON MAIN, THE","#7-89 Main St,  CAMBRIDGE ON N1R 1V6",CAMBRIDGE,Food Safety,15-Aug-2019,3,-
BAKED JUST SWEET,"#212 Mitchell St,  Ayr ON N0B 1E0",AYR,Food Safety,19-Nov-2019,,-
BAKE-HURRY,"#104-141 Whitney Pl,  Kitchener ON N2G",KITCHENER,Food Safety,23-Nov-2019,,-
BAKIN' ME CRAZY,"#2-3692 NAFZIGER RD,  WELLESLEY ON N0B 2T0",WELLESLEY,Food Safety,11-Jun-2019,,-
BAKIN' US KETO,"#2-3692 NAFZIGER RD,  WELLESLEY ON N0B 2T0",WELLESLEY,Food Safety,20-Aug-2019,,-
BALTAZ CORNER'S ESSO,"#2267 NEW DUNDEE RD,  North Dumfries ON N0B 2E0",NEW DUNDEE,Food Safety,24-Jan-2020,,-
BALZAC'S COFFEE ROASTERS,"#17-151 Charles ST W,  KITCHENER ON N2G 1H6",KITCHENER,Food Safety,08-Jan-2020,1,-
BANDA LIRA DE FATIMA CLUB,"#12 OXFORD ST,  CAMBRIDGE ON N1R 1M2",CAMBRIDGE,Food Safety,20-Feb-2020,5,-
BANGKOK CUISINE,"#2-1500 WEBER ST E,  KITCHENER ON N2A 2Y5",KITCHENER,Food Safety,12-Sep-2019,,-
BANH MI GIVRAL DELI,"#102-210 KING ST E,  KITCHENER ON N2J 2L1",KITCHENER,Food Safety,16-Mar-2020,2,-
BANKSIDE TERRACE,"#71 BANKSIDE DR,  KITCHENER ON N2N 3L1",KITCHENER,Food Safety,02-Feb-2021,2,-
BAO SANDWICH BAR,"#B106-62 BALSAM ST,  WATERLOO ON N2L 3H2",WATERLOO,Food Safety,10-Mar-2020,,-
BAR BURRITO,"#H2-569 Fairway Rd S,  Kitchener ON N2C 1X4",KITCHENER,Food Safety,03-Jun-2020,2,-
BAR BURRITO,"#E4-123 Pioneer Dr,  Kitchener ON N2P 2A3",KITCHENER,Food Safety,-,,-
BAR BURRITO,"#H3-584 Weber st N,  WATERLOO ON N2V 2K4",WATERLOO,Food Safety,09-Jan-2020,1,-
BAR BURRITO FRESH MEXICAN GRILL,"#3-205 THE BOARDWALK,  KITCHENER ON N2N 0B1",KITCHENER,Food Safety,04-Nov-2020,3,-
BARBURRITO,"#102-541 Hespeler Rd,  Cambridge ON N1R 6J2",CAMBRIDGE,Food Safety,31-Jul-2020,4,-
BARBURRITO,"#550 King St N,  Waterloo ON N2L 5W6",WATERLOO,Food Safety,10-Sep-2020,1,-
BARBURRITO FRESH MEXICAN GRILL,"#B-10-1400 Ottawa St S,  KITCHENER ON",KITCHENER,Food Safety,10-Jan-2020,3,-
"BARGAIN SHOP, THE","#44 Arthur St S,  ELMIRA ON N3B 2M7",ELMIRA,Food Safety,23-Jul-2019,,-
BARLEY WORKS (HUETHER HOTEL),"#61 KING ST N,  WATERLOO ON N2J 2X2",WATERLOO,Food Safety,24-Jan-2020,1,-
BARNACLE BILL'S,"#47 GRAND AVE S,  CAMBRIDGE ON N1S 2L7",CAMBRIDGE,Food Safety,21-Jan-2020,,-
BARNSWALLOW PLACE CARE COMMUNITY,"#120 BARNSWALLOW DR,  ELMIRA ON N3B 2Y9",ELMIRA,Food Safety,30-Jan-2020,3,-
BARRIE'S ASPARAGUS,"#1236 Kings Rd,  NORTH DUMFRIES ON N1R 5S3",CAMBRIDGE,Food Safety,11-Jul-2019,,-
BASKIN ROBBINS,"#425 HESPELER RD,  CAMBRIDGE ON N1R 6J2",CAMBRIDGE,Food Safety,28-Mar-2019,2,-
BASKIN ROBBINS,"#370 HIGHLAND RD W,  KITCHENER ON N2M 5G2",KITCHENER,Food Safety,23-Jan-2020,1,-
BASKIN ROBBINS,"#117-94 BRIDGEPORT RD E,  WATERLOO ON N2J 2J9",WATERLOO,Food Safety,07-Jan-2020,,-
BATL-CLUTCH CATERING,"#69 Agnes St,  KITCHENER ON",KITCHENER,Food Safety,12-Dec-2019,,-
"BAUER BUTCHER, THE","#150 Caroline ST S,  WATERLOO ON N2L 0A5",WATERLOO,Food Safety,20-Jan-2021,2,-
"BAUER KITCHEN, THE","#102-187 King ST S,  WATERLOO ON N2J 1R1",WATERLOO,Food Safety,25-Oct-2019,,-
BBT,"#35-170 UNIVERSITY Ave W,  WATERLOO ON N2L 3E9",WATERLOO,Food Safety,07-Feb-2020,1,-
BEAVERDALE GOLF COURSE,"#1171 KOSSUTH RD,  WOOLWICH ON N3C 2V3",KITCHENER,Food Safety,05-Sep-2019,,-
BEAVERTAILS KITCHENER WATERLOO MOBILE,"#66 Moorefield St,  Cambridge N1T 1S1",CAMBRIDGE,Food Safety,06-Mar-2020,,-
BEBORA STORE,"#408 KING ST E,  KITCHENER ON N2G 2L5",KITCHENER,Food Safety,05-Dec-2019,,-
BEECHWOOD MANOR,"#305 ERB ST W,  WATERLOO ON N2L 1W4",WATERLOO,Food Safety,12-Feb-2021,6,-
BEERBAUL CARIBBEAN GROCERIES,"#8B-450 WESTHEIGHTS DR,  KITCHENER ON N2N 2B9",KITCHENER,Food Safety,11-Feb-2020,,-
BEERTOWN PUBLC HOUSE,"#75 King St S,  WATERLOO ON N2J 1P2",WATERLOO,Food Safety,11-Feb-2020,,-
BEERTOWN PUBLIC HOUSE,"#1A-561 Hespeler RD,  CAMBRIDGE ON N1R 6J4",CAMBRIDGE,Food Safety,09-Sep-2020,2,-
BELISA PIZZA AND SUBS,"#5-76 Woolwich St N,  Breslau ON N0B 1M0",KITCHENER,Food Safety,09-Dec-2020,1,-
BELLISSIMA CAKES & PASTRIES,"#105 Oak Park Dr,  Waterloo Ontario N2K 0B3",WATERLOO,Food Safety,28-Aug-2020,1,-
BELMONT ENERGY STATION,"#5-200 Glasgow st,  Kitchener Ontario N2M 2M4",KITCHENER,Food Safety,28-Nov-2019,,-
BELMONT FRESH MARKET,"#683 Belmont Ave W,  KITCHENER ON N2M 1N8",KITCHENER,Food Safety,25-Jul-2019,,-
BEN THANH SUPERMARKET / B & T SUPERMARKET,"#470 KING ST E,  KITCHENER ON N2G 2L6",KITCHENER,Food Safety,21-Sep-2020,2,-
BENCH WARMER THE,"#2001 University Ave E,  WATERLOO ON N2K 4K4",WATERLOO,Food Safety,16-Dec-2019,3,-
BENFICA SPORTS BAR & GRILL,"#A-298 HIGHLAND RD E,  KITCHENER ON N2M 3W4",KITCHENER,Food Safety,11-Dec-2019,2,-
"BENT ELBOW, THE","#2880 King St E,  KITCHENER ON N2A 1A7",KITCHENER,Food Safety,04-Nov-2019,3,-
BENTO,"#315 Lincoln Rd,  WATERLOO ON N2J 4H7",WATERLOO,Food Safety,07-Nov-2019,,-
BENTO SUSHI,"#450 Columbia St W,  WATERLOO ON N2T 2W1",WATERLOO,Food Safety,06-Dec-2019,,-
BENTO SUSHI,"#640 PARKSIDE DR,  WATERLOO ON N2L 0C7",WATERLOO,Food Safety,27-Jan-2021,,-
BENTO SUSHI,"#123 Pioneer Park,  Kitchener ON N2P 1K8",KITCHENER,Food Safety,05-Nov-2020,,-
BENTO SUSHI,"#550 King St N,  Waterloo Ontario N2L 5W6",WATERLOO,Food Safety,05-Oct-2020,,-
BENTO SUSHI,"#299 Doon Valley Dr,  Kitchener ON N2G 4M4",KITCHENER,Food Safety,10-Feb-2020,,-
BENTO SUSHI,"#400 CONESTOGA BLVD,  CAMBRIDGE ON N1R 7L7",CAMBRIDGE,Food Safety,21-Jan-2020,,-
BENTO SUSHI,"#1011 Northumberland St,  North Dumfries ON N0B 1E0",AYR,Food Safety,14-Aug-2020,,-
BENTO SUSHI,"#875 Highland Rd W,  Kitchener ON N2N",KITCHENER,Food Safety,10-Dec-2020,1,-
BENTO SUSHI,"#750 Ottawa Street South,  Kitchener ON N2E 1B6",KITCHENER,Food Safety,08-Jan-2020,,-
BENTO SUSHI,"#1005 Ottawa St N,  KITCHENER ON N2A 1H1",KITCHENER,Food Safety,02-Nov-2020,,-
BENTO SUSHI,"#235 Ira Needles Blvd,  KITCHENER ON N2N 0B2",KITCHENER,Food Safety,13-Nov-2020,,-
BENTO SUSHI,"#1187 Fischer-Hallman Rd,  Kitchener ON N2E 4H9",KITCHENER,Food Safety,31-Jul-2020,1,-
BERLIN 95,"#380 Lake Louise Blvd,  Waterloo ON N2V 2H2",WATERLOO,Food Safety,11-Oct-2019,,-
BEST ASIAN GROCERS,"#F-500 Can-Amera Pky,  CAMBRIDGE ON N1T 0A2",CAMBRIDGE,Food Safety,10-Sep-2019,4,-
BEST WESTERN PLUS,"#730 OLD HESPELER RD,  CAMBRIDGE ON N3H 5L8",CAMBRIDGE,Food Safety,14-Oct-2020,1,-
BEST WESTERN PLUS - BISTRO 54/7,"#547 King St N,  Waterloo ON N2L 5Z7",WATERLOO,Food Safety,25-Nov-2019,,-
